0,0,0.003
1,0.002,0.002
2,0.004,0.003
3,0.006,0.007
4,0.008,0.013
5,0.01,0.019
6,0.012,0.025
7,0.014,0.028
8,0.016,0.027
9,0.018,0.021
10,0.02,0.013
11,0.022,0.002
12,0.024,-0.008
13,0.026,-0.018
14,0.028,-0.026
15,0.03,-0.033
16,0.032,-0.04
17,0.034,-0.048
18,0.036,-0.056
19,0.038,-0.065
20,0.04,-0.073
21,0.042,-0.078
22,0.044,-0.081
23,0.046,-0.081
24,0.048,-0.079
25,0.05,-0.076
26,0.052,-0.075
27,0.054,-0.075
28,0.056,-0.078
29,0.058,-0.082
30,0.06,-0.087
31,0.062,-0.091
32,0.064,-0.094
33,0.066,-0.094
34,0.068,-0.092
35,0.07,-0.088
36,0.072,-0.085
37,0.074,-0.084
38,0.076,-0.085
39,0.078,-0.088
40,0.08,-0.091
41,0.082,-0.094
42,0.084,-0.095
43,0.086,-0.093
44,0.088,-0.089
45,0.09,-0.083
46,0.092,-0.078
47,0.094,-0.075
48,0.096,-0.075
49,0.098,-0.08
50,0.1,-0.089
51,0.102,-0.101
52,0.104,-0.113
53,0.106,-0.123
54,0.108,-0.13
55,0.11,-0.13
56,0.112,-0.122
57,0.114,-0.102
58,0.116,-0.069
59,0.118,-0.019
60,0.12,0.048
61,0.122,0.133
62,0.124,0.232
63,0.126,0.34
64,0.128,0.448
65,0.13,0.547
66,0.132,0.627
67,0.134,0.683
68,0.136,0.708
69,0.138,0.698
70,0.14,0.649
71,0.142,0.558
72,0.144,0.429
73,0.146,0.271
74,0.148,0.097
75,0.15,-0.074
76,0.152,-0.222
77,0.154,-0.334
78,0.156,-0.404
79,0.158,-0.434
80,0.16,-0.435
81,0.162,-0.416
82,0.164,-0.389
83,0.166,-0.361
84,0.168,-0.335
85,0.17,-0.313
86,0.172,-0.294
87,0.174,-0.277
88,0.176,-0.261
89,0.178,-0.244
90,0.18,-0.224
91,0.182,-0.202
92,0.184,-0.176
93,0.186,-0.149
94,0.188,-0.122
95,0.19,-0.099
96,0.192,-0.083
97,0.194,-0.075
98,0.196,-0.075
99,0.198,-0.079
100,0.2,-0.084
101,0.202,-0.088
102,0.204,-0.088
103,0.206,-0.084
104,0.208,-0.076
105,0.21,-0.066
106,0.212,-0.057
